id,area,aspects,solidities,extents,perimeters,eccentricities,labels
71,10910.5,1.61111111111,0.927645275453,0.17273835534,820.874231815,1.0,2
72,9530.0,1.67597765363,0.943284163681,0.177467411546,763.033610582,1.0,2
73,10358.5,1.6902173913,0.9411256899,0.181016706277,792.104679227,1.0,2
74,9102.0,1.57954545455,0.944484788373,0.186028449967,717.719901919,1.0,2
75,9184.0,1.51704545455,0.937669090432,0.19543752128,699.234621167,1.0,2
76,11272.0,1.635,0.93656266099,0.172354740061,839.116872072,1.0,2
77,10242.5,1.69398907104,0.944052712622,0.180548210823,788.104679465,1.0,2
78,7857.5,1.33540372671,0.92894720188,0.226996966633,588.080292702,0.99,2
79,8597.0,1.40828402367,0.945608525044,0.213738749938,635.435631156,1.0,2
80,10828.0,1.60204081633,0.929641546,0.175939165475,812.146309733,1.0,2
81,10217.0,1.64615384615,0.88585424298,0.163223899672,825.31788218,1.0,2
82,9023.0,1.51098901099,0.917857678472,0.18027972028,722.5483284,1.0,2
83,8483.0,1.39411764706,0.921264108153,0.210548523207,637.778776765,1.0,2
84,11327.0,1.6157635468,0.925786669998,0.17011594377,845.945299029,1.0,2
85,10135.0,1.68333333333,0.940036164355,0.185826916025,773.376757264,1.0,2
86,9911.0,1.64705882353,0.918578238856,0.172077922078,791.518892884,1.0,2
87,8801.5,1.60588235294,0.948999935856,0.189646627882,703.335127115,1.0,2
88,10510.5,1.60621761658,0.931286541456,0.175672739428,798.732095361,1.0,2
89,9321.0,1.47282608696,0.919775005726,0.186928445371,715.033611178,1.0,2
90,1467.5,0.739726027397,0.667804292705,0.372272957889,244.267026186,0.92,2
91,10252.5,1.68508287293,0.940855272636,0.185716873472,775.276252627,1.0,2
92,8460.0,1.35714285714,0.955122766524,0.220864661654,615.778776169,1.0,2
93,8893.5,1.47674418605,0.944659823202,0.203568485625,668.163553596,1.0,2
94,8278.0,1.37125748503,0.923265660013,0.216457913867,622.808213949,0.99,2
95,9148.5,1.55248618785,0.924931746791,0.179872593932,729.61939621,1.0,2
96,9960.0,1.67553191489,0.888888880956,0.168186423506,805.175746799,1.0,2
97,8801.0,1.37640449438,0.910888005476,0.201811511121,672.607204914,1.0,2
98,10611.0,1.60309278351,0.931157027501,0.175870984851,804.489455342,1.0,2
99,8450.5,1.43113772455,0.952759445823,0.21172299752,636.364563107,1.0,2
100,9282.5,1.53107344633,0.945649949616,0.193518460608,707.477261424,1.0,2
101,10343.0,1.69565217391,0.943747425122,0.180166527313,792.347319603,1.0,2
102,10347.5,1.60655737705,0.947573251396,0.192325564105,757.27625227,1.0,2
103,10940.5,1.62436548223,0.92282062399,0.173548540609,824.388949871,1.0,2
104,10046.0,1.67724867725,0.885383149999,0.167676464206,811.175747037,1.0,2
